Data;15861 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas físicas - %;15862 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas físicas - %;15863 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amapá - Pessoas físicas - %;15864 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas físicas - %;15865 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Bahia - Pessoas físicas - %;15866 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Ceará - Pessoas físicas - %;15867 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas físicas - %;15868 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Espírito Santo - Pessoas físicas - %;15869 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas físicas - %
11/2012;5,06 ;5,95 ;6,85 ;5,85 ;5,59 ;5,75 ;4,08 ;4,25 ;5,04
12/2012;5,09 ;5,95 ;6,62 ;5,79 ;5,49 ;5,76 ;4,03 ;4,20 ;4,85
01/2013;4,92 ;5,92 ;6,44 ;5,73 ;5,38 ;5,49 ;3,96 ;4,09 ;4,72
02/2013;4,93 ;6,01 ;6,29 ;5,69 ;5,45 ;5,47 ;3,92 ;4,07 ;4,63
03/2013;4,91 ;6,20 ;6,21 ;5,82 ;5,54 ;5,58 ;3,90 ;4,10 ;4,59
04/2013;5,09 ;6,05 ;5,97 ;5,83 ;5,42 ;5,50 ;3,77 ;3,99 ;4,40
05/2013;5,18 ;6,03 ;6,18 ;5,94 ;5,36 ;5,48 ;3,69 ;3,87 ;4,32
06/2013;4,87 ;5,94 ;5,98 ;5,86 ;5,23 ;5,33 ;3,53 ;3,74 ;4,06
07/2013;4,75 ;5,80 ;5,66 ;5,80 ;5,16 ;5,20 ;3,42 ;3,64 ;3,95
08/2013;4,73 ;5,73 ;5,67 ;5,69 ;5,01 ;5,05 ;3,34 ;3,56 ;3,80
09/2013;4,95 ;5,81 ;5,49 ;5,72 ;5,08 ;5,00 ;3,31 ;3,58 ;3,78
10/2013;4,94 ;5,86 ;5,35 ;5,62 ;5,01 ;4,89 ;3,29 ;3,55 ;3,75
11/2013;4,92 ;5,70 ;5,25 ;5,65 ;4,87 ;4,72 ;3,21 ;3,46 ;3,64
12/2013;4,85 ;5,55 ;5,33 ;5,64 ;4,69 ;4,56 ;3,10 ;3,44 ;3,49
01/2014;4,67 ;5,42 ;5,12 ;5,55 ;4,66 ;4,45 ;3,10 ;3,44 ;3,43
02/2014;4,65 ;5,54 ;5,21 ;5,66 ;4,64 ;4,37 ;3,07 ;3,42 ;3,39
03/2014;4,71 ;5,52 ;5,17 ;5,85 ;4,69 ;4,40 ;3,04 ;3,49 ;3,40
04/2014;4,60 ;5,49 ;5,08 ;5,75 ;4,70 ;4,49 ;3,06 ;3,49 ;3,37
05/2014;4,67 ;5,53 ;5,05 ;5,93 ;4,68 ;4,60 ;3,08 ;3,52 ;3,37
06/2014;4,62 ;5,46 ;5,09 ;5,65 ;4,62 ;4,51 ;3,05 ;3,39 ;3,32
07/2014;4,46 ;5,51 ;4,99 ;5,78 ;4,67 ;4,58 ;3,04 ;3,50 ;3,36
08/2014;4,51 ;5,64 ;4,96 ;5,39 ;4,71 ;4,59 ;3,05 ;3,53 ;3,46
